,loss_v,val_loss_v,auc_v,val_auc_v,loss_w,val_loss_w,auc_w,val_auc_w
0,1.9703463315963745,1.8502610921859741,0.5824435949325562,0.6475020051002502,2.053687572479248,1.9936892986297607,0.49622172117233276,0.5349267721176147
1,1.8522189855575562,1.7438859939575195,0.6488574743270874,0.7094874382019043,1.980147123336792,1.9262501001358032,0.545922577381134,0.5841109752655029
2,1.7465423345565796,1.649190068244934,0.7086272835731506,0.760690450668335,1.9138498306274414,1.8659844398498535,0.5952358245849609,0.628786563873291
3,1.6523106098175049,1.5648694038391113,0.7587094306945801,0.8001797199249268,1.8547009229660034,1.812509536743164,0.638692319393158,0.665658712387085
4,1.568259358406067,1.489722728729248,0.7977015972137451,0.8295211791992188,1.8022807836532593,1.765196442604065,0.6746059656143188,0.6954635381698608
5,1.4932111501693726,1.4226974248886108,0.8270788788795471,0.8513909578323364,1.7559459209442139,1.7233585119247437,0.703221321105957,0.7192538976669312
6,1.4261202812194824,1.3628920316696167,0.849096417427063,0.8676670789718628,1.7150050401687622,1.6863151788711548,0.7257158160209656,0.7380090951919556
7,1.366087555885315,1.3095409870147705,0.8654727935791016,0.8800598978996277,1.6787736415863037,1.6534123420715332,0.7432558536529541,0.75282883644104
8,1.3123494386672974,1.2619882822036743,0.8781087398529053,0.8896434307098389,1.6465924978256226,1.6240510940551758,0.7570101022720337,0.7645969390869141
9,1.2642594575881958,1.2196515798568726,0.8879127502441406,0.8973201513290405,1.6178535223007202,1.5977059602737427,0.7679215669631958,0.7740910649299622
10,1.2212578058242798,1.1819936037063599,0.8958916068077087,0.9034409523010254,1.5920199155807495,1.5739303827285767,0.7768626809120178,0.7820068597793579
11,1.1828416585922241,1.1484975814819336,0.9022332429885864,0.9082753658294678,1.5686355829238892,1.5523607730865479,0.7841919660568237,0.7889167070388794
12,1.148529052734375,1.1186474561691284,0.9074400663375854,0.9123855233192444,1.5473297834396362,1.5327057838439941,0.790704071521759,0.7947412133216858
13,1.117834210395813,1.0919374227523804,0.9118571281433105,0.9159342050552368,1.5278120040893555,1.5147382020950317,0.7962664365768433,0.7998084425926208
14,1.0902764797210693,1.0678913593292236,0.915625274181366,0.9191074371337891,1.5098600387573242,1.4982798099517822,0.8012452125549316,0.8043591976165771
15,1.0653935670852661,1.0460857152938843,0.9189541935920715,0.9218697547912598,1.4933048486709595,1.4831870794296265,0.805793821811676,0.8085155487060547
16,1.0427714586257935,1.0261589288711548,0.9219825863838196,0.9244769811630249,1.478015661239624,1.4693440198898315,0.8099426031112671,0.8122876882553101
17,1.022053599357605,1.0078117847442627,0.9247851371765137,0.9268598556518555,1.4638866186141968,1.4566447734832764,0.8136980533599854,0.8155742883682251
18,1.0029470920562744,0.9908024072647095,0.9273574948310852,0.9290894269943237,1.4508261680603027,1.444992184638977,0.8170892000198364,0.8187917470932007
19,0.9852148294448853,0.974936306476593,0.9297918081283569,0.9311428666114807,1.4387470483779907,1.4342916011810303,0.820297360420227,0.8213849663734436
20,0.9686707258224487,0.9600579738616943,0.9320367574691772,0.9330793023109436,1.427566647529602,1.4244509935379028,0.823200523853302,0.8238847255706787
21,0.9531679153442383,0.9460402131080627,0.9341747164726257,0.934782862663269,1.4172027111053467,1.4153846502304077,0.8258287310600281,0.8261748552322388
22,0.9385902881622314,0.9327762722969055,0.9361110925674438,0.9364653825759888,1.4075756072998047,1.4070101976394653,0.828266978263855,0.8281101584434509
23,0.9248406291007996,0.9201764464378357,0.9379279613494873,0.937995970249176,1.398611307144165,1.3992550373077393,0.8304595351219177,0.8300544023513794
24,0.9118344783782959,0.9081600308418274,0.939610481262207,0.9395203590393066,1.3902428150177002,1.3920509815216064,0.8324910402297974,0.8317162990570068
25,0.8994970917701721,0.8966590166091919,0.9411450028419495,0.9409351348876953,1.3824093341827393,1.3853421211242676,0.8343827724456787,0.8332222700119019
26,0.887759804725647,0.8856176137924194,0.9426091909408569,0.9422695636749268,1.375059723854065,1.3790767192840576,0.8360984325408936,0.8346787691116333
27,0.876562774181366,0.8749936819076538,0.9439908862113953,0.9435989856719971,1.3681501150131226,1.373207926750183,0.8377430438995361,0.8360852599143982
28,0.8658549785614014,0.8647593259811401,0.9452826976776123,0.9448190927505493,1.3616433143615723,1.3676918745040894,0.8392750024795532,0.837375283241272
29,0.8555970191955566,0.8548988699913025,0.9465123414993286,0.9459704160690308,1.3555054664611816,1.3624833822250366,0.8406705856323242,0.8384741544723511
30,0.8457590937614441,0.8454065322875977,0.9476814270019531,0.9470732808113098,1.3497036695480347,1.3575334548950195,0.8419802188873291,0.839626669883728
31,0.8363208770751953,0.8362817764282227,0.9487627744674683,0.9480596780776978,1.3442046642303467,1.3527945280075073,0.8433375358581543,0.840789794921875
32,0.8272637128829956,0.8275216221809387,0.9497516751289368,0.9490587115287781,1.338973879814148,1.3482166528701782,0.8445057272911072,0.8417565226554871
33,0.8185733556747437,0.8191205859184265,0.9506853818893433,0.9499441385269165,1.3339755535125732,1.3437554836273193,0.8456963300704956,0.8428469896316528
34,0.8102307915687561,0.811067521572113,0.9515640735626221,0.9508151412010193,1.3291740417480469,1.3393728733062744,0.8468315601348877,0.8438518047332764
35,0.8022154569625854,0.8033449053764343,0.9524239897727966,0.9516023993492126,1.3245381116867065,1.3350400924682617,0.8479253053665161,0.8449715971946716
36,0.7945032119750977,0.795932948589325,0.9531923532485962,0.9523450136184692,1.3200411796569824,1.3307392597198486,0.8490205407142639,0.8460532426834106
37,0.7870699167251587,0.7888104319572449,0.9539493322372437,0.9530526995658875,1.3156620264053345,1.3264614343643188,0.8500833511352539,0.8470659255981445
38,0.779893159866333,0.7819589972496033,0.9546520709991455,0.9537546634674072,1.3113850355148315,1.3222050666809082,0.8511212468147278,0.8480526208877563
39,0.7729540467262268,0.7753633856773376,0.9553346633911133,0.9543536305427551,1.3071975708007812,1.3179726600646973,0.8520811200141907,0.8491389751434326
40,0.7662391066551208,0.7690130472183228,0.9559818506240845,0.954992413520813,1.303090214729309,1.3137694597244263,0.8531312346458435,0.8501077890396118
41,0.7597405910491943,0.76289963722229,0.9565937519073486,0.9556141495704651,1.299054503440857,1.3096040487289429,0.8540946245193481,0.8511602878570557
42,0.7534530758857727,0.7570172548294067,0.9571909308433533,0.9561595916748047,1.2950832843780518,1.3054836988449097,0.855095624923706,0.8521601557731628
43,0.7473735809326172,0.7513589859008789,0.9577591419219971,0.9566726684570312,1.2911720275878906,1.3014189004898071,0.8560570478439331,0.8532912731170654
44,0.7414987683296204,0.7459148168563843,0.9583075046539307,0.9571406841278076,1.2873167991638184,1.2974193096160889,0.8570057153701782,0.854198694229126
45,0.7358219623565674,0.7406720519065857,0.9588258266448975,0.9576562643051147,1.2835170030593872,1.2934945821762085,0.8579100966453552,0.8551517724990845
46,0.7303339838981628,0.7356157302856445,0.9593334794044495,0.9580821990966797,1.2797726392745972,1.2896506786346436,0.8587886095046997,0.8561551570892334
47,0.7250222563743591,0.7307280898094177,0.9598231315612793,0.9585161209106445,1.2760841846466064,1.2858922481536865,0.8596990704536438,0.8569940328598022
48,0.7198716402053833,0.7259913682937622,0.9603344202041626,0.958966851234436,1.2724515199661255,1.2822200059890747,0.8605988025665283,0.8578704595565796
49,0.7148669958114624,0.7213894128799438,0.960772693157196,0.9594087600708008,1.2688727378845215,1.2786309719085693,0.8614624738693237,0.8588136434555054
