,loss_v,val_loss_v,acc_v,val_acc_v,auc_v,val_auc_v,loss_w,val_loss_w,acc_w,val_acc_w,auc_w,val_auc_w
0,2.093130588531494,1.9786534309387207,0.15659955143928528,0.18684209883213043,0.52580726146698,0.5781058669090271,1.993018627166748,1.9289538860321045,0.16710104048252106,0.20569366216659546,0.5216826796531677,0.5722787380218506
1,1.9709439277648926,1.866371512413025,0.19305171072483063,0.2210526317358017,0.5815126895904541,0.6361507177352905,1.9301502704620361,1.8724638223648071,0.19456696510314941,0.2329591065645218,0.5724081993103027,0.6255102157592773
2,1.8594623804092407,1.765348196029663,0.22279247641563416,0.2531578838825226,0.6386934518814087,0.6911300420761108,1.8738890886306763,1.8220163583755493,0.22574177384376526,0.2686447501182556,0.6244200468063354,0.6714006662368774
3,1.75884211063385,1.6751346588134766,0.2589814364910126,0.29789474606513977,0.6933295726776123,0.7391654849052429,1.8234219551086426,1.7768261432647705,0.25661587715148926,0.2947072982788086,0.669437825679779,0.7059713006019592
4,1.6687383651733398,1.5949398279190063,0.3003026843070984,0.33157894015312195,0.7415675520896912,0.7790996432304382,1.7780094146728516,1.7362229824066162,0.2838813066482544,0.3239775598049164,0.7044740915298462,0.7307769060134888
5,1.5884835720062256,1.5238388776779175,0.33504408597946167,0.36105263233184814,0.7818800210952759,0.8108847737312317,1.7370432615280151,1.6996722221374512,0.3103448152542114,0.3512429893016815,0.7300153970718384,0.7485873699188232
6,1.5172383785247803,1.460869550704956,0.36702197790145874,0.40263158082962036,0.8137773275375366,0.834709644317627,1.7000306844711304,1.666735291481018,0.34001603722572327,0.3680833876132965,0.748261570930481,0.7612955570220947
7,1.4540810585021973,1.4050716161727905,0.4078168272972107,0.44105264544487,0.837918758392334,0.8524718284606934,1.6665594577789307,1.6370203495025635,0.3612670302391052,0.38171613216400146,0.7616305351257324,0.7713266611099243
8,1.3980647325515747,1.355523943901062,0.45492827892303467,0.49263158440589905,0.8557260632514954,0.866004228591919,1.6362570524215698,1.6101701259613037,0.3779069781303406,0.39174017310142517,0.7716904878616333,0.7791422605514526
9,1.3482637405395508,1.3113720417022705,0.4990130364894867,0.5278947353363037,0.8693804740905762,0.8767104744911194,1.6087803840637207,1.585853099822998,0.3944466710090637,0.40176424384117126,0.7797145843505859,0.7854084968566895
10,1.3038182258605957,1.2718532085418701,0.5348072052001953,0.5557894706726074,0.880316972732544,0.8859425187110901,1.5838085412979126,1.5637646913528442,0.40637528896331787,0.4145950376987457,0.7864311933517456,0.791106104850769
11,1.2639626264572144,1.23630690574646,0.5632320046424866,0.5763157606124878,0.8894935846328735,0.8937097787857056,1.5610398054122925,1.543636441230774,0.4143945574760437,0.4266239106655121,0.7921475172042847,0.7957644462585449
12,1.2280367612838745,1.20417320728302,0.584155797958374,0.5899999737739563,0.8973543047904968,0.9002513885498047,1.5402019023895264,1.5252469778060913,0.41850441694259644,0.4290296733379364,0.79735267162323,0.8002310395240784
13,1.195482850074768,1.1749799251556396,0.6011317372322083,0.609473705291748,0.9039061665534973,0.9058387279510498,1.5210652351379395,1.5084303617477417,0.4265236556529999,0.4350441098213196,0.8020109534263611,0.8041572570800781
14,1.165835976600647,1.1483267545700073,0.6219239234924316,0.6268420815467834,0.9095327854156494,0.9105163812637329,1.5034499168395996,1.4930644035339355,0.43173617124557495,0.4414595067501068,0.8061650395393372,0.8077831268310547
15,1.1387012004852295,1.1238672733306885,0.6358731389045715,0.6368421316146851,0.9144070148468018,0.9148791432380676,1.4872239828109741,1.4790594577789307,0.4381515681743622,0.44546911120414734,0.8101702928543091,0.8111482858657837
16,1.1137394905090332,1.1012932062149048,0.6452164649963379,0.6505263447761536,0.9186366200447083,0.9185916185379028,1.472290277481079,1.466336727142334,0.4423616826534271,0.4490777850151062,0.8137272596359253,0.813979983329773
17,1.090652346611023,1.080325961112976,0.655612587928772,0.656315803527832,0.9223284721374512,0.9218774437904358,1.458570122718811,1.4548150300979614,0.4490777850151062,0.45188450813293457,0.816998302936554,0.8167418837547302
18,1.0691685676574707,1.0607084035873413,0.6617975831031799,0.6621052622795105,0.9256333112716675,0.9248654842376709,1.4459906816482544,1.4444026947021484,0.45479148626327515,0.452285498380661,0.8199925422668457,0.8191053867340088
